ISO,Country,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest
AFG,Afghanistan,SA,SA,Least Developed,54,40,67,48,71,45,46,43,60,75
ALB,Albania,ECA,EECA,More Developed,95,96,94,93,96,93,93,96,94,98
DZA,Algeria,MENA,MENA,Less Developed,95,96,93,92,96,88,93,96,98,99
AGO,Angola,SSA,ESA,Least Developed,60,57,63,27,74,19,30,61,77,89
ARM,Armenia,ECA,EECA,Less Developed,99,99,99,100,99,99,100,98,100,100
BGD,Bangladesh,SA,SA,Least Developed,83,89,76,83,83,70,80,87,87,92
BRB,Barbados,LAC,LAC,Less Developed,99,99,99,99,99,97,98,100,99,100
BLR,Belarus,ECA,EECA,More Developed,100,100,100,100,100,100,100,100,100,100
BLZ,Belize,LAC,LAC,Less Developed,95,96,95,95,97,89,94,98,100,99
BEN,Benin,SSA,WCA,Least Developed,48,44,51,41,58,21,33,45,58,76
BTN,Bhutan,SA,SA,Least Developed,69,71,67,60,89,43,55,68,83,90
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,100,100,99,99,100,100,100,98,100,100
BRA,Brazil,LAC,LAC,Less Developed,96,97,95,92,96,92,96,97,98,99
BFA,Burkina Faso,SSA,WCA,Least Developed,31,29,32,21,58,10,17,22,35,60
BDI,Burundi,SSA,ESA,Least Developed,50,54,46,47,70,26,39,54,57,64
KHM,Cambodia,EAP,EAP,Least Developed,73,79,68,71,85,48,64,75,86,90
CMR,Cameroon,SSA,WCA,Less Developed,74,74,75,58,89,33,64,79,91,96
CAF,Central African Republic,SSA,WCA,Least Developed,27,24,30,10,49,9,8,13,31,57
TCD,Chad,SSA,WCA,Least Developed,27,23,30,19,55,9,10,19,31,57
COL,Colombia,LAC,LAC,Less Developed,93,95,91,87,95,84,92,95,98,98
COM,Comoros,SSA,ESA,Least Developed,76,77,75,71,86,50,71,80,83,91
COG,Congo,SSA,WCA,Less Developed,80,82,78,55,90,42,71,85,92,96
CRI,Costa Rica,LAC,LAC,Less Developed,98,99,98,98,98,95,99,98,99,100
CUB,Cuba,LAC,LAC,Less Developed,100,100,100,99,100,99,99,100,100,100
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,56,53,60,39,70,24,49,54,67,75
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,67,66,67,53,81,42,53,63,75,93
DOM,Dominican Republic,LAC,LAC,Less Developed,91,93,88,88,91,79,90,92,95,97
EGY,Egypt,MENA,MENA,Less Developed,91,92,91,90,93,87,89,91,92,97
SLV,El Salvador,LAC,LAC,Less Developed,86,89,84,81,91,71,83,91,96,97
SWZ,Eswatini,SSA,ESA,Less Developed,70,77,64,67,85,54,62,70,84,89
ETH,Ethiopia,SSA,ESA,Least Developed,47,48,47,40,78,26,30,41,49,75
GAB,Gabon,SSA,WCA,Less Developed,71,75,66,33,76,33,67,75,81,91
GMB,Gambia,SSA,WCA,Least Developed,62,60,64,46,75,49,54,51,67,85
GEO,Georgia,ECA,EECA,Less Developed,100,100,100,100,100,100,100,100,100,100
