ISO,Country,Region,Subregion,DevelopmentRegions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest
AFG,Afghanistan,SA,SA,Least Developed,23,14,32,17,39,11,14,13,23,46
ALB,Albania,ECA,EECA,More Developed,78,80,76,69,83,56,71,78,86,94
DZA,Algeria,MENA,MENA,Less Developed,46,59,35,35,53,25,31,43,54,72
AGO,Angola,SSA,ESA,Least Developed,19,15,24,4,25,1,2,6,20,50
ARM,Armenia,ECA,EECA,Less Developed,75,79,69,61,85,55,68,75,86,87
BGD,Bangladesh,SA,SA,Least Developed,29,27,32,28,35,12,20,27,33,50
BRB,Barbados,LAC,LAC,Less Developed,94,97,91,97,92,88,93,94,97,97
BLR,Belarus,ECA,EECA,More Developed,98,98,98,95,99,96,97,98,98,100
BLZ,Belize,LAC,LAC,Less Developed,49,51,48,41,60,18,34,50,70,74
BEN,Benin,SSA,WCA,Least Developed,8,5,12,4,15,1,2,4,6,25
BTN,Bhutan,SA,SA,Least Developed,21,18,25,15,35,6,9,13,23,53
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,92,92,92,90,97,71,90,93,97,98
BRA,Brazil,LAC,LAC,Less Developed,70,75,65,50,73,47,61,75,82,94
BFA,Burkina Faso,SSA,WCA,Least Developed,4,2,6,0,11,0,0,0,0,12
BDI,Burundi,SSA,ESA,Least Developed,4,3,4,1,14,0,0,1,3,10
KHM,Cambodia,EAP,EAP,Least Developed,20,20,20,13,48,5,6,11,20,48
CMR,Cameroon,SSA,WCA,Less Developed,23,21,26,7,33,1,4,10,24,52
CAF,Central African Republic,SSA,WCA,Least Developed,6,5,8,0,14,0,1,0,3,21
TCD,Chad,SSA,WCA,Least Developed,4,3,7,1,15,1,2,1,3,14
COL,Colombia,LAC,LAC,Less Developed,74,78,69,47,81,40,64,75,89,95
COM,Comoros,SSA,ESA,Least Developed,28,32,24,20,43,4,21,27,32,49
COG,Congo,SSA,WCA,Less Developed,23,19,28,3,29,0,4,13,27,54
CRI,Costa Rica,LAC,LAC,Less Developed,58,60,56,52,60,25,44,62,72,86
CUB,Cuba,LAC,LAC,Less Developed,59,63,54,49,64,26,51,64,66,76
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,16,15,17,3,25,2,3,8,13,40
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,31,27,36,12,47,8,9,17,30,64
DOM,Dominican Republic,LAC,LAC,Less Developed,61,71,51,49,64,28,52,59,80,90
EGY,Egypt,MENA,MENA,Less Developed,42,41,43,33,57,26,28,35,46,73
SLV,El Salvador,LAC,LAC,Less Developed,35,36,34,20,45,9,22,31,43,71
SWZ,Eswatini,SSA,ESA,Less Developed,32,33,31,28,43,12,19,33,35,56
ETH,Ethiopia,SSA,ESA,Least Developed,12,14,11,5,39,2,2,4,7,34
GAB,Gabon,SSA,WCA,Less Developed,14,14,14,4,15,0,4,10,14,36
GMB,Gambia,SSA,WCA,Least Developed,30,28,33,13,40,11,15,21,31,50
GEO,Georgia,ECA,EECA,Less Developed,81,83,79,68,88,56,75,85,87,96
GHA,Ghana,SSA,WCA,Less Developed,10,9,12,4,16,1,2,5,8,30
GTM,Guatemala,LAC,LAC,Less Developed,26,25,27,15,41,3,8,20,35,60
GIN,Guinea,SSA,WCA,Least Developed,16,13,22,2,33,0,2,2,12,45
GNB,Guinea-Bissau,SSA,WCA,Least Developed,11,8,14,4,19,3,2,7,12,23
GUY,Guyana,LAC,LAC,Less Developed,61,68,54,58,72,36,39,66,76,85
HTI,Haiti,LAC,LAC,Least Developed,17,16,17,8,26,1,6,8,17,40
HND,Honduras,LAC,LAC,Less Developed,33,37,29,17,50,4,12,26,45,70
IND,India,SA,SA,Less Developed,43,40,46,36,56,13,25,38,53,76
IDN,Indonesia,EAP,EAP,Less Developed,63,63,64,50,74,32,46,61,77,91
IRQ,Iraq,MENA,MENA,Less Developed,44,43,45,40,46,23,33,37,57,67
JAM,Jamaica,LAC,LAC,Less Developed,82,83,80,82,82,62,84,80,91,93
JOR,Jordan,MENA,MENA,Less Developed,56,63,49,48,57,24,38,54,68,82
KAZ,Kazakhstan,ECA,EECA,Less Developed,95,96,95,93,97,89,94,96,97,99
KEN,Kenya,SSA,ESA,Less Developed,41,38,44,27,56,11,21,32,48,69
KIR,Kiribati,EAP,EAP,Least Developed,17,20,13,6,24,4,5,10,18,38
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,87,85,89,84,91,78,85,81,89,96
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,31,31,32,19,56,4,16,26,40,69
LSO,Lesotho,SSA,ESA,Least Developed,32,37,27,20,50,4,17,24,46,61
LBR,Liberia,SSA,WCA,Least Developed,13,9,18,4,19,2,4,4,13,31
MDG,Madagascar,SSA,ESA,Least Developed,15,15,16,10,30,1,1,5,13,44
MWI,Malawi,SSA,ESA,Least Developed,14,13,15,10,34,2,5,8,15,37
MLI,Mali,SSA,WCA,Least Developed,17,12,23,9,41,0,4,6,19,45
MRT,Mauritania,SSA,WCA,Least Developed,27,23,31,27,27,30,22,26,21,34
MNG,Mongolia,EAP,EAP,Less Developed,66,73,60,35,78,26,49,63,87,95
MNE,Montenegro,ECA,EECA,More Developed,86,90,83,86,86,54,83,91,99,100
MOZ,Mozambique,SSA,ESA,Least Developed,7,5,8,1,14,0,1,1,3,20
MMR,Myanmar,EAP,EAP,Least Developed,17,19,14,10,32,1,5,10,17,45
NAM,Namibia,SSA,ESA,Less Developed,36,39,33,18,47,8,13,27,46,65
NPL,Nepal,SA,SA,Least Developed,27,28,27,14,33,10,14,17,30,59
NER,Niger,SSA,WCA,Least Developed,2,1,4,0,9,0,0,0,0,8
NGA,Nigeria,SSA,WCA,Less Developed,49,44,57,34,71,12,28,50,72,88
MKD,North Macedonia,ECA,EECA,More Developed,83,79,86,84,82,56,78,86,99,100
PAK,Pakistan,SA,SA,Less Developed,23,23,24,15,35,1,8,15,30,55
PAN,Panama,LAC,LAC,Less Developed,63,68,57,38,72,21,45,66,82,95
PRY,Paraguay,LAC,LAC,Less Developed,63,67,60,44,72,34,44,56,77,83
PER,Peru,LAC,LAC,Less Developed,75,72,78,47,83,34,59,78,89,95
PHL,Philippines,EAP,EAP,Less Developed,78,83,74,73,83,46,71,83,89,94
MDA,Republic of Moldova,ECA,EECA,More Developed,67,71,63,53,82,25,52,64,80,87
RWA,Rwanda,SSA,ESA,Least Developed,17,16,19,11,38,4,5,11,16,42
LCA,Saint Lucia,LAC,LAC,Less Developed,80,90,70,81,77,54,80,85,93,96
WSM,Samoa,EAP,EAP,Less Developed,57,66,48,53,71,39,43,57,65,78
STP,Sao Tome and Principe,SSA,WCA,Least Developed,29,31,26,24,31,14,27,20,34,55
SEN,Senegal,SSA,WCA,Least Developed,10,10,11,4,16,2,4,6,12,23
SRB,Serbia,ECA,EECA,More Developed,94,92,96,91,96,83,96,96,97,97
SLE,Sierra Leone,SSA,WCA,Least Developed,22,18,27,5,33,2,3,12,24,41
ZAF,South Africa,SSA,ESA,Less Developed,48,52,45,34,56,23,36,50,59,78
SSD,South Sudan,SSA,ESA,Least Developed,7,4,12,4,13,1,2,5,5,15
LKA,Sri Lanka,SA,SA,Less Developed,38,43,32,35,49,15,28,35,47,68
PSE,State of Palestine,MENA,MENA,Less Developed,62,74,51,60,63,45,63,59,64,75
SDN,Sudan,SSA,ESA,Least Developed,31,28,33,22,47,11,11,19,33,69
