ISO,Country,Region,Sub-region,Development Regions,Total,Female,Male,Rural,Urban,Poorest,Second,Middle,Fourth,Richest
AFG,Afghanistan,SA,SA,Least Developed,37,47,28,42,19,42,47,46,32,16
ALB,Albania,ECA,EECA,More Developed,2,2,3,4,1,4,3,2,2,1
DZA,Algeria,MENA,MENA,Less Developed,2,2,2,2,1,4,1,2,1,1
AGO,Angola,SSA,ESA,Least Developed,22,22,21,35,14,39,33,19,12,5
ARM,Armenia,ECA,EECA,Less Developed,5,4,5,6,3,6,7,6,3,2
BGD,Bangladesh,SA,SA,Least Developed,6,5,8,6,6,9,7,5,6,4
BRB,Barbados,LAC,LAC,Less Developed,1,1,0,1,0,1,0,0,2,0
BLR,Belarus,ECA,EECA,More Developed,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,LAC,LAC,Less Developed,2,2,2,3,1,4,4,1,1,0
BEN,Benin,SSA,WCA,Least Developed,32,35,28,38,21,59,39,30,15,7
BTN,Bhutan,SA,SA,Least Developed,8,7,9,10,3,15,11,6,4,3
BIH,Bosnia and Herzegovina,ECA,EECA,More Developed,3,4,2,3,3,7,1,3,1,3
BRA,Brazil,LAC,LAC,Less Developed,0,0,1,1,0,1,1,0,0,0
BFA,Burkina Faso,SSA,WCA,Least Developed,48,50,46,55,17,69,58,50,40,15
BDI,Burundi,SSA,ESA,Least Developed,18,18,18,19,6,36,21,14,11,6
KHM,Cambodia,EAP,EAP,Least Developed,6,5,7,7,3,13,8,4,3,2
CMR,Cameroon,SSA,WCA,Less Developed,15,17,14,24,6,37,18,10,4,2
CAF,Central African Republic,SSA,WCA,Least Developed,26,30,23,34,12,42,35,29,19,7
TCD,Chad,SSA,WCA,Least Developed,57,59,54,61,36,79,71,59,42,30
COL,Colombia,LAC,LAC,Less Developed,2,2,2,2,2,3,2,1,1,2
COM,Comoros,SSA,ESA,Least Developed,14,15,14,17,9,28,18,10,4,4
COG,Congo,SSA,WCA,Less Developed,3,3,3,6,2,8,4,2,1,1
CRI,Costa Rica,LAC,LAC,Less Developed,1,1,1,1,1,1,2,2,1,0
CUB,Cuba,LAC,LAC,Less Developed,1,1,1,1,1,1,0,1,1,1
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,23,26,21,29,15,38,29,23,13,6
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,22,22,21,28,13,35,29,21,15,6
DOM,Dominican Republic,LAC,LAC,Less Developed,3,3,3,4,3,8,3,2,2,1
EGY,Egypt,MENA,MENA,Less Developed,3,3,3,3,3,5,4,2,2,2
SLV,El Salvador,LAC,LAC,Less Developed,4,3,4,5,3,8,4,2,2,0
SWZ,Eswatini,SSA,ESA,Less Developed,1,1,2,2,1,2,2,1,2,0
ETH,Ethiopia,SSA,ESA,Least Developed,25,25,26,27,9,41,30,22,19,9
GAB,Gabon,SSA,WCA,Less Developed,4,3,4,5,4,8,4,1,2,3
GMB,Gambia,SSA,WCA,Least Developed,27,27,28,35,18,32,34,32,23,10
GEO,Georgia,ECA,EECA,Less Developed,1,1,1,2,1,2,2,1,1,1
GHA,Ghana,SSA,WCA,Less Developed,7,6,7,8,4,16,6,4,3,1
GTM,Guatemala,LAC,LAC,Less Developed,6,6,5,6,4,9,7,5,2,2
