country,ISO3,UNICEF Region,Sex,Copied or moved a file or folder,Used a copy and paste tool to duplicate or move information within a document,"Sent e-mail with attached file, such as a document, picture or video",Used a basic arithmetic formula in a spreadsheet,"Connected and installed a new device, such as a modem, camera or printer","Found, downloaded, installed and configured software","Created an electronic presentation with presentation software, including text, images, sound, video or charts",Transferred a file between a computer and other device,Wrote a computer program in any programming language,Performed at least one out of nine activities
Algeria,DZA,MENA,Female,0.244,0.245,0.192,0.132,0.143,0.159,0.131,0.171,0.111,0.278
Argentina,ARG,LAC,Female,0.459,0.458,0.447,0.239,0.295,0.316,0.279,0.393,0.078,0.548
Bangladesh,BGD,SA,Female,0.014,0.012,0.011,0.006,0.008,0.015,0.007,0.009,0.003,0.023
Central African Republic,CAF,WCA,Female,0.011,0.01,0.009,0.004,0.006,0.008,0.004,0.007,0.003,0.014
Central African Republic,CAF,WCA,Male,0.036,0.031,0.025,0.009,0.011,0.021,0.007,0.03,0.003,0.043
Chad,TCD,WCA,Female,0.006,0.006,0.004,0.002,0.001,0.003,0.002,0.004,0.002,0.01
Chad,TCD,WCA,Male,0.019,0.017,0.011,0.005,0.009,0.009,0.004,0.012,0.002,0.023
Congo DR,COD,WCA,Female,0.028,0.029,0.015,0.017,0.011,0.009,0.009,0.018,0.006,0.04
Congo DR,COD,WCA,Male,0.099,0.104,0.055,0.039,0.039,0.036,0.014,0.077,0.01,0.127
Cuba,CUB,LAC,Female,0.526,0.48,0.282,0.174,0.249,0.11,0.229,0.451,0.058,0.587
Cuba,CUB,LAC,Male,0.44,0.369,0.174,0.136,0.172,0.146,0.171,0.405,0.064,0.48
Gambia,GMB,WCA,Female,0.049,0.048,0.041,0.026,0.032,0.044,0.036,0.04,0.016,0.073
Gambia,GMB,WCA,Male,0.137,0.125,0.079,0.06,0.052,0.086,0.058,0.136,0.004,0.174
Ghana,GHA,WCA,Female,0.05,0.044,0.035,0.023,0.03,0.03,0.017,0.033,0.004,0.075
Guinea Bissau,GNB,WCA,Female,0.019,0.019,0.019,0.01,0.011,0.021,0.014,0.022,0.011,0.042
Guinea Bissau,GNB,WCA,Male,0.101,0.07,0.065,0.013,0.036,0.082,0.017,0.112,0.004,0.126
Iraq,IRQ,MENA,Female,0.063,0.063,0.038,0.03,0.036,0.03,0.032,0.051,0.014,0.078
Kiribati,KIR,EAP,Female,0.243,0.271,0.177,0.167,0.12,0.124,0.181,0.18,0.042,0.301
Kiribati,KIR,EAP,Male,0.264,0.291,0.11,0.139,0.094,0.155,0.166,0.233,0.034,0.324
Lao PDR,LAO,EAP,Female,0.063,0.06,0.03,0.055,0.013,0.033,0.032,0.046,0.007,0.088
Lesotho,LSO,ESA,Female,0.101,0.102,0.053,0.061,0.062,0.066,0.035,0.102,0.019,0.146
Madagascar,MDG,ESA,Female,0.03,0.034,0.018,0.021,0.016,0.021,0.01,0.029,0.006,0.05
Madagascar,MDG,ESA,Male,0.069,0.07,0.033,0.032,0.039,0.041,0.018,0.066,0.008,0.08
Malawi,MWI,ESA,Female,0.021,0.018,0.016,0.011,0.012,0.012,0.008,0.02,0.007,0.027
Malawi,MWI,ESA,Male,0.059,0.051,0.016,0.014,0.043,0.027,0.011,0.067,0.008,0.073
Mongolia,MNG,EAP,Female,0.324,0.357,0.245,0.23,0.157,0.195,0.229,0.215,0.038,0.429
Nepal,NPL,SA,Female,0.084,0.076,0.059,0.05,0.03,0.05,0.031,0.059,0.016,0.1
Nepal,NPL,SA,Male,0.196,0.163,0.125,0.098,0.07,0.117,0.066,0.163,0.023,0.204
Pakistan (Azad Jammu and Kashmir),PAK,SA,Female,0.051,0.051,0.041,0.016,0.025,0.034,0.032,0.036,0.009,0.08
Pakistan (Azad Jammu and Kashmir),PAK,SA,Male,0.153,0.139,0.077,0.042,0.065,0.106,0.045,0.143,0.025,0.189
Pakistan (Khyber Pakhtunkhwa),PAK,SA,Female,0.025,0.024,0.015,0.007,0.013,0.015,0.012,0.014,0.006,0.035
Pakistan (Khyber Pakhtunkhwa),PAK,SA,Male,0.117,0.11,0.075,0.031,0.058,0.077,0.036,0.088,0.02,0.13
Pakistan (Punjab),PAK,SA,Female,0.061,0.059,0.041,0.028,0.033,0.047,0.035,0.045,0.013,0.084
Pakistan (Punjab),PAK,SA,Male,0.17,0.158,0.094,0.062,0.089,0.116,0.058,0.138,0.024,0.2
Pakistan (Sindh),PAK,SA,Female,0.035,0.036,0.031,0.014,0.025,0.032,0.023,0.024,0.011,0.05
Pakistan (Sindh),PAK,SA,Male,0.124,0.122,0.087,0.052,0.075,0.103,0.051,0.088,0.02,0.148
Samoa,WSM,EAP,Female,0.161,0.189,0.117,0.188,0.118,0.119,0.111,0.133,0.076,0.228
Samoa,WSM,EAP,Male,0.173,0.182,0.15,0.162,0.124,0.114,0.098,0.118,0.078,0.205
Sao Tome and Principe,STP,WCA,Female,0.131,0.137,0.101,0.058,0.066,0.09,0.052,0.13,0.03,0.204
Sierra Leone,SLE,WCA,Female,0.013,0.013,0.014,0.006,0.008,0.008,0.005,0.011,0.002,0.021
State of Palestine,PSE,MENA,Female,0.36,0.357,0.251,0.247,0.11,0.204,0.248,0.282,0.106,0.449
Suriname,SUR,LAC,Female,0.306,0.34,0.265,0.157,0.122,0.154,0.182,0.198,0.054,0.411
Suriname,SUR,LAC,Male,0.25,0.302,0.242,0.12,0.161,0.185,0.146,0.22,0.047,0.383
Togo,TGO,WCA,Female,0.03,0.029,0.019,0.011,0.01,0.015,0.009,0.018,0.006,0.041
Tonga,TON,EAP,Female,0.364,0.403,0.367,0.329,0.126,0.183,0.292,0.337,0.156,0.517
Tonga,TON,EAP,Male,0.16,0.155,0.175,0.095,0.034,0.04,0.13,0.179,0.033,0.248
Tunisia,TUN,MENA,Female,0.328,0.308,0.244,0.204,0.169,0.205,0.171,0.206,0.091,0.426
Tunisia,TUN,MENA,Male,0.316,0.302,0.233,0.168,0.17,0.23,0.126,0.209,0.089,0.417
Turkmenistan,TKM,EECA,Female,0.306,0.284,0.094,0.129,0.102,0.054,0.068,0.245,0.009,0.349
Turks and Caicos Islands,TCA,EC,Female,0.623,0.666,0.677,0.518,0.42,0.413,0.377,0.4,0.024,0.717
Turks and Caicos Islands,TCA,EC,Male,0.503,0.477,0.623,0.33,0.416,0.455,0.311,0.528,0.078,0.637
Tuvalu,TUV,EAP,Female,0.434,0.447,0.382,0.242,0.26,0.337,0.261,0.357,0.112,0.518
Tuvalu,TUV,EAP,Male,0.36,0.336,0.194,0.081,0.086,0.129,0.059,0.355,0.062,0.433
Viet Nam,VNM,EAP,Female,0.304,0.292,0.294,0.263,0.146,0.223,0.163,0.154,0.034,0.389
Viet Nam,VNM,EAP,Male,0.312,0.278,0.275,0.229,0.158,0.305,0.11,0.219,0.057,0.393
Zimbabwe,ZWE,ESA,Female,0.096,0.094,0.05,0.033,0.049,0.065,0.038,0.101,0.011,0.147
Zimbabwe,ZWE,ESA,Male,0.18,0.163,0.077,0.073,0.104,0.127,0.063,0.189,0.022,0.223
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
