temp,country,ISO,UNICEF_REGION,Sex,Area,COP_FOLD_FILE,COPY_PASTE_DOC,EMAIL_WITH_ATTACHMENT,ARTHIMETIC_IN_SPREADSHEET,INSTALL_A_NEW_DEVICE,INSTALL_SOFTWARE,PRESENTATION_WITH_CONTENT,TRANSFER_FILE,COMPUTER_PROGRAM_IN_PROGLANG,PERFORM_ACTIVITES
,Algeria,DZA,MENA,Female,Rural,0.16,0.163,0.118,0.092,0.088,0.093,0.093,0.113,0.078,0.187
,Algeria,DZA,MENA,Female,Urban,0.289,0.29,0.233,0.154,0.173,0.195,0.151,0.203,0.129,0.328
,Argentina,ARG,LAC,Female,Urban,0.459,0.458,0.447,0.239,0.295,0.316,0.279,0.393,0.078,0.548
,Bangladesh,BGD,SA,Female,Rural,0.005,0.004,0.004,0.003,0.003,0.006,0.003,0.004,0.001,0.01
,Bangladesh,BGD,SA,Female,Urban,0.042,0.039,0.034,0.018,0.025,0.042,0.02,0.029,0.01,0.062
,Central African Republic,CAF,WCA,Female,Rural,0,0,0.001,0,0,0,0,0,0,0.001
,Central African Republic,CAF,WCA,Female,Urban,0.025,0.025,0.021,0.009,0.013,0.02,0.011,0.018,0.008,0.033
,Central African Republic,CAF,WCA,Male,Rural,0,0,0,0,0,0,0,0.003,0,0.003
,Central African Republic,CAF,WCA,Male,Urban,0.077,0.068,0.053,0.02,0.023,0.044,0.015,0.061,0.007,0.089
,Chad,TCD,WCA,Female,Rural,0.003,0.002,0.002,0.001,0,0.002,0.001,0.002,0.001,0.005
,Chad,TCD,WCA,Female,Urban,0.036,0.039,0.028,0.013,0.011,0.022,0.014,0.022,0.012,0.057
,Chad,TCD,WCA,Male,Rural,0.013,0.011,0.008,0.004,0.006,0.005,0.002,0.008,0.001,0.015
,Chad,TCD,WCA,Male,Urban,0.083,0.079,0.036,0.02,0.035,0.052,0.027,0.057,0.009,0.107
,Congo DR,COD,WCA,Female,Rural,0,0,0,0,0,0,0,0.001,0.001,0.001
,Congo DR,COD,WCA,Female,Urban,0.054,0.057,0.03,0.034,0.022,0.018,0.017,0.036,0.011,0.078
,Congo DR,COD,WCA,Male,Rural,0.018,0.013,0.009,0.003,0.004,0.002,0,0.01,0,0.018
,Congo DR,COD,WCA,Male,Urban,0.18,0.195,0.1,0.075,0.073,0.07,0.028,0.144,0.02,0.235
,Cuba,CUB,LAC,Female,Rural,0.386,0.353,0.181,0.115,0.154,0.046,0.14,0.352,0.026,0.425
,Cuba,CUB,LAC,Female,Urban,0.592,0.54,0.329,0.201,0.293,0.139,0.271,0.497,0.073,0.663
,Cuba,CUB,LAC,Male,Rural,0.208,0.189,0.072,0.076,0.093,0.076,0.101,0.206,0.047,0.247
,Cuba,CUB,LAC,Male,Urban,0.56,0.463,0.227,0.167,0.212,0.183,0.207,0.509,0.073,0.601
,Gambia,GMB,WCA,Female,Rural,0.005,0.005,0.003,0.002,0.001,0.004,0.002,0.003,0,0.009
,Gambia,GMB,WCA,Female,Urban,0.067,0.065,0.056,0.037,0.044,0.059,0.049,0.055,0.022,0.098
,Gambia,GMB,WCA,Male,Rural,0.015,0.011,0.006,0,0.001,0.003,0.004,0.012,0,0.02
,Gambia,GMB,WCA,Male,Urban,0.17,0.156,0.096,0.077,0.068,0.109,0.073,0.168,0.006,0.215
,Ghana,GHA,WCA,Female,Rural,0.024,0.017,0.011,0.01,0.015,0.012,0.003,0.016,0,0.031
,Ghana,GHA,WCA,Female,Urban,0.076,0.072,0.06,0.037,0.045,0.049,0.031,0.05,0.008,0.12
,Guinea Bissau,GNB,WCA,Female,Rural,0.001,0.002,0.001,0.001,0.001,0.003,0,0.001,0.001,0.005
,Guinea Bissau,GNB,WCA,Female,Urban,0.042,0.04,0.042,0.022,0.024,0.045,0.033,0.049,0.023,0.092
,Guinea Bissau,GNB,WCA,Male,Rural,0.023,0.016,0.011,0.005,0.008,0.019,0.007,0.033,0.001,0.033
,Guinea Bissau,GNB,WCA,Male,Urban,0.206,0.143,0.137,0.024,0.074,0.166,0.03,0.219,0.009,0.251
,Iraq,IRQ,MENA,Female,Rural,0.044,0.044,0.015,0.032,0.036,0.02,0.031,0.037,0.005,0.055
,Iraq,IRQ,MENA,Female,Urban,0.072,0.072,0.05,0.029,0.037,0.034,0.033,0.058,0.019,0.09
,Kiribati,KIR,EAP,Female,Rural,0.116,0.136,0.061,0.07,0.045,0.042,0.095,0.092,0.015,0.158
,Kiribati,KIR,EAP,Female,Urban,0.33,0.363,0.256,0.232,0.171,0.179,0.24,0.24,0.061,0.398
,Kiribati,KIR,EAP,Male,Rural,0.118,0.138,0.034,0.044,0.036,0.067,0.073,0.11,0.008,0.171
,Kiribati,KIR,EAP,Male,Urban,0.38,0.413,0.167,0.213,0.141,0.223,0.239,0.331,0.056,0.446
,Lao PDR,LAO,EAP,Female,Rural,0.021,0.02,0.008,0.019,0.003,0.01,0.011,0.015,0.002,0.031
,Lao PDR,LAO,EAP,Female,Urban,0.161,0.154,0.08,0.136,0.037,0.084,0.081,0.115,0.018,0.219
,Lesotho,LSO,ESA,Female,Rural,0.06,0.061,0.03,0.037,0.036,0.043,0.022,0.061,0.01,0.092
,Lesotho,LSO,ESA,Female,Urban,0.155,0.157,0.084,0.093,0.097,0.096,0.053,0.158,0.031,0.218
,Madagascar,MDG,ESA,Female,Rural,0.01,0.013,0.006,0.008,0.005,0.009,0.005,0.011,0.001,0.019
,Madagascar,MDG,ESA,Female,Urban,0.087,0.094,0.053,0.058,0.047,0.056,0.024,0.081,0.017,0.136
,Madagascar,MDG,ESA,Male,Rural,0.027,0.027,0.011,0.012,0.014,0.015,0.004,0.022,0.001,0.03
,Madagascar,MDG,ESA,Male,Urban,0.19,0.195,0.093,0.084,0.106,0.117,0.05,0.194,0.031,0.229
,Malawi,MWI,ESA,Female,Rural,0.022,0.018,0.016,0.011,0.012,0.013,0.008,0.021,0.008,0.027
,Malawi,MWI,ESA,Female,Urban,0.014,0.016,0.011,0.01,0.007,0.007,0.006,0.017,0.005,0.02
,Malawi,MWI,ESA,Male,Rural,0.059,0.05,0.016,0.016,0.044,0.027,0.012,0.067,0.009,0.073
,Malawi,MWI,ESA,Male,Urban,0.052,0.053,0.018,0.007,0.033,0.018,0.01,0.056,0.003,0.067
,Mongolia,MNG,EAP,Female,Rural,0.162,0.198,0.133,0.171,0.086,0.11,0.114,0.102,0.019,0.262
,Mongolia,MNG,EAP,Female,Urban,0.38,0.411,0.284,0.251,0.181,0.225,0.269,0.254,0.044,0.487
,Nepal,NPL,SA,Female,Rural,0.026,0.022,0.014,0.007,0.006,0.011,0.002,0.012,0.001,0.029
,Nepal,NPL,SA,Female,Urban,0.112,0.102,0.081,0.071,0.041,0.068,0.044,0.082,0.023,0.134
,Nepal,NPL,SA,Male,Rural,0.097,0.066,0.035,0.023,0.014,0.053,0.015,0.07,0.001,0.099
,Nepal,NPL,SA,Male,Urban,0.24,0.205,0.164,0.131,0.095,0.145,0.088,0.203,0.033,0.25
,Samoa,WSM,EAP,Female,Rural,0.123,0.152,0.083,0.155,0.087,0.088,0.084,0.11,0.059,0.19
,Samoa,WSM,EAP,Female,Urban,0.292,0.313,0.234,0.304,0.223,0.223,0.199,0.207,0.129,0.354
,Samoa,WSM,EAP,Male,Rural,0.128,0.138,0.118,0.123,0.097,0.082,0.065,0.082,0.063,0.153
,Samoa,WSM,EAP,Male,Urban,0.352,0.357,0.281,0.316,0.23,0.24,0.226,0.257,0.133,0.413
,Sao Tome and Principe,STP,WCA,Female,Rural,0.082,0.104,0.077,0.042,0.03,0.05,0.029,0.084,0.019,0.145
,Sao Tome and Principe,STP,WCA,Female,Urban,0.155,0.154,0.113,0.066,0.085,0.11,0.063,0.153,0.036,0.234
,Sierra Leone,SLE,WCA,Female,Rural,0,0,0,0,0,0,0,0.001,0,0.001
,Sierra Leone,SLE,WCA,Female,Urban,0.024,0.024,0.025,0.01,0.015,0.014,0.009,0.02,0.003,0.037
,State of Palestine,PSE,MENA,Female,Rural,0.375,0.388,0.255,0.285,0.121,0.213,0.272,0.292,0.111,0.473
,State of Palestine,PSE,MENA,Female,Urban,0.356,0.348,0.25,0.236,0.107,0.201,0.241,0.279,0.105,0.442
,Suriname,SUR,LAC,Female,Rural,0.204,0.218,0.133,0.091,0.069,0.069,0.103,0.108,0.043,0.258
,Suriname,SUR,LAC,Female,Urban,0.343,0.383,0.312,0.18,0.141,0.183,0.209,0.23,0.058,0.465
,Suriname,SUR,LAC,Male,Rural,0.131,0.134,0.108,0.076,0.077,0.107,0.082,0.105,0.02,0.208
,Suriname,SUR,LAC,Male,Urban,0.293,0.365,0.29,0.139,0.195,0.217,0.172,0.266,0.059,0.448
,Togo,TGO,WCA,Female,Rural,0.009,0.009,0.003,0.002,0.001,0.003,0.002,0.006,0.001,0.011
,Togo,TGO,WCA,Female,Urban,0.052,0.05,0.036,0.021,0.02,0.028,0.016,0.03,0.011,0.074
,Tonga,TON,EAP,Female,Rural,0.354,0.397,0.366,0.321,0.125,0.19,0.288,0.322,0.162,0.517
,Tonga,TON,EAP,Female,Urban,0.396,0.424,0.37,0.355,0.127,0.163,0.304,0.385,0.138,0.518
,Tonga,TON,EAP,Male,Rural,0.148,0.159,0.166,0.094,0.03,0.034,0.136,0.184,0.037,0.246
,Tonga,TON,EAP,Male,Urban,0.199,0.14,0.205,0.099,0.046,0.061,0.111,0.159,0.018,0.254
,Tunisia,TUN,MENA,Female,Rural,0.202,0.182,0.136,0.114,0.071,0.104,0.102,0.132,0.055,0.261
,Tunisia,TUN,MENA,Female,Urban,0.387,0.367,0.294,0.246,0.213,0.252,0.202,0.24,0.107,0.502
,Tunisia,TUN,MENA,Male,Rural,0.171,0.158,0.133,0.101,0.084,0.148,0.065,0.105,0.029,0.247
,Tunisia,TUN,MENA,Male,Urban,0.388,0.373,0.284,0.201,0.214,0.27,0.156,0.261,0.118,0.502
,Turkmenistan,TKM,EECA,Female,Rural,0.254,0.237,0.052,0.086,0.068,0.035,0.046,0.197,0.006,0.293
,Turkmenistan,TKM,EECA,Female,Urban,0.386,0.355,0.159,0.195,0.152,0.083,0.102,0.317,0.012,0.435
,Turks and Caicos Islands,TCA,EC,Female,Rural,0.446,0.677,0.714,0.169,0.467,0.315,0.465,0.385,0.276,0.853
,Turks and Caicos Islands,TCA,EC,Female,Urban,0.627,0.666,0.677,0.525,0.419,0.415,0.375,0.401,0.019,0.714
,Turks and Caicos Islands,TCA,EC,Male,Rural,0.293,0.387,0.437,0.35,0.225,0.17,0.4,0.548,0,0.634
,Turks and Caicos Islands,TCA,EC,Male,Urban,0.513,0.481,0.632,0.329,0.426,0.469,0.306,0.527,0.082,0.638
,Tuvalu,TUV,EAP,Female,Rural,0.36,0.349,0.302,0.198,0.221,0.267,0.209,0.314,0.116,0.419
,Tuvalu,TUV,EAP,Female,Urban,0.464,0.486,0.414,0.26,0.276,0.365,0.282,0.376,0.11,0.558
,Tuvalu,TUV,EAP,Male,Rural,0.368,0.395,0.105,0.053,0,0.105,0.053,0.421,0.026,0.5
,Tuvalu,TUV,EAP,Male,Urban,0.371,0.323,0.242,0.097,0.129,0.145,0.065,0.339,0.081,0.419
,Viet Nam,VNM,EAP,Female,Rural,0.194,0.191,0.18,0.165,0.099,0.122,0.101,0.074,0.018,0.268
,Viet Nam,VNM,EAP,Female,Urban,0.476,0.449,0.475,0.418,0.218,0.383,0.26,0.281,0.06,0.578
,Viet Nam,VNM,EAP,Male,Rural,0.222,0.189,0.159,0.16,0.071,0.216,0.067,0.139,0.044,0.295
,Viet Nam,VNM,EAP,Male,Urban,0.48,0.445,0.493,0.36,0.321,0.47,0.189,0.367,0.081,0.576
,Zimbabwe,ZWE,ESA,Female,Rural,0.027,0.028,0.016,0.01,0.017,0.017,0.011,0.033,0.005,0.054
,Zimbabwe,ZWE,ESA,Female,Urban,0.206,0.2,0.103,0.07,0.1,0.14,0.081,0.21,0.021,0.295
,Zimbabwe,ZWE,ESA,Male,Rural,0.055,0.048,0.026,0.023,0.028,0.04,0.016,0.064,0.009,0.091
,Zimbabwe,ZWE,ESA,Male,Urban,0.472,0.428,0.195,0.188,0.279,0.33,0.171,0.481,0.051,0.533
